 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
  262.50  220.66  -25.00  200.00   16.65    0.00    0.00
  265.00  220.74  -25.00  200.00   16.65    0.00    0.00
  267.50  220.80  -25.00  200.00   16.65    0.00    0.00
  270.00  220.85  -25.00  200.00   16.65    0.00    0.00
  272.50  220.90  -25.00  200.00   16.66    0.00    0.00
  275.00  220.95  -25.00  200.00   16.66    0.00    0.00
  277.50  221.01  -25.00  200.00   16.65    0.00    0.00
  280.00  221.07  -25.00  200.00   16.65    0.00    0.00
  282.50  221.14  -25.00  200.00   16.64    0.00    0.00
  285.00  221.22  -25.00  200.00   16.64    0.00    0.00
  287.50  221.29  -25.00  200.00   16.64    0.00    0.00
  290.00  221.36  -25.00  200.00   16.65    0.00    0.00
  292.50  221.43  -25.00  200.00   16.64    0.00    0.00
  295.00  221.52  -25.00  200.00   16.63    0.00    0.00
  297.50  221.63  -25.00  200.00   16.62    0.00    0.00
  300.00  221.76  -25.00  200.00   16.61    0.00    0.00
  302.50  221.82  -25.00  200.00   16.65    0.00    0.00
  305.00  221.83  -25.00  200.00   16.67    0.00    0.00
  307.50  221.83  -25.00  200.00   16.68    0.00    0.00
  310.00  221.84  -25.00  200.00   16.67    0.00    0.00
  312.50  221.88  -25.00  200.00   16.66    0.00    0.00
  315.00  221.93  -25.00  200.00   16.65    0.00    0.00
  317.50  222.00  -25.00  200.00   16.65    0.00    0.00
  320.00  222.07  -25.00  200.00   16.64    0.00    0.00
  322.50  222.13  -25.00  200.00   16.64    0.00    0.00
  325.00  222.19  -25.00  200.00   16.65    0.00    0.00
  327.50  222.24  -25.00  200.00   16.65    0.00    0.00
  330.00  222.29  -25.00  200.00   16.65    0.00    0.00
  332.50  222.34  -25.00  200.00   16.65    0.00    0.00
  335.00  222.40  -25.00  200.00   16.65    0.00    0.00
  337.50  222.46  -25.00  200.00   16.64    0.00    0.00
  340.00  222.53  -25.00  200.00   16.64    0.00    0.00
  342.50  222.62  -25.00  200.00   16.63    0.00    0.00
  345.00  222.68  -25.00  200.00   16.64    0.00    0.00
  347.50  222.75  -25.00  200.00   16.63    0.00    0.00
  350.00  222.83  -25.00  200.00   16.63    0.00    0.00
  352.50  222.93  -25.00  200.00   16.62    0.00    0.00
  355.00  223.06  -25.00  200.00   16.61    0.00    0.00
  357.50  223.15  -25.00  200.00   16.62    0.00    0.00
  360.00  223.17  -25.00  200.00   16.67    0.00    0.00
  362.50  223.17  -25.00  200.00   16.68    0.00    0.00
  365.00  223.17  -25.00  200.00   16.67    0.00    0.00
  367.50  223.21  -25.00  200.00   16.65    0.00    0.00
  370.00  223.26  -25.00  200.00   16.64    0.00    0.00
  372.50  223.32  -25.00  200.00   16.64    0.00    0.00
  375.00  223.38  -25.00  200.00   16.64    0.00    0.00
  377.50  223.45  -25.00  200.00   16.63    0.00    0.00
  380.00  223.51  -25.00  200.00   16.64    0.00    0.00
  382.50  223.56  -25.00  200.00   16.64    0.00    0.00
  385.00  223.61  -25.00  200.00   16.64    0.00    0.00
  387.50  223.66  -25.00  200.00   16.64    0.00    0.00
  390.00  223.72  -25.00  200.00   16.64    0.00    0.00
  392.50  223.78  -25.00  200.00   16.64    0.00    0.00
  395.00  223.85  -25.00  200.00   16.63    0.00    0.00
  397.50  223.92  -25.00  200.00   16.63    0.00    0.00
  400.00  224.00  -25.00  200.00   16.63    0.00    0.00
